Tag,Home Team,Away Team,Date,HPro,DPro,APro,HCor,ACor,AGol,Prog,HFull,AFull,Link
Py1,Resistencia SC,General Caballero JLM,2023-07-08 00:00:00,19,46,35,1,1,1.88,-,-1,-1,https://www.forebet.com/en/predictions-tips-resistencia-sc-general-caballero-jlm-1845380
Py2,12 de Octubre,Martín Ledesma,2023-07-08 00:00:00,45,34,21,2,1,2.88,-,-1,-1,https://www.forebet.com/en/predictions-tips-12-de-octubre-mart%C3%ADn-ledesma-1897745
Ar1,Gimnasia La Plata,Independiente,2023-07-08 01:00:00,37,41,22,1,1,2.32,-,-1,-1,https://www.forebet.com/en/predictions-tips-gimnasia-la-plata-independiente-1845690
Ve1,Carabobo,UCV FC,2023-07-08 01:00:00,51,36,13,2,0,2.29,-,-1,-1,https://www.forebet.com/en/predictions-tips-carabobo-ucv-fc-1850622
Cl1,Audax Italiano,CD Palestino,2023-07-08 01:00:00,40,35,25,2,0,2.38,-,-1,-1,https://www.forebet.com/en/predictions-tips-audax-italiano-cd-palestino-1844813
Br2,Novorizontino/SP,Atlético GO,2023-07-08 01:00:00,34,39,27,0,0,0.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-novorizontinosp-atl%C3%A9tico-go-1876272
Ar5,Central Ballester,CA Lugano,2023-07-08 01:00:00,21,30,48,0,1,2.45,-,-1,-1,https://www.forebet.com/en/predictions-tips-central-ballester-ca-lugano-1866933
Ar5,Mercedes,Deportivo Muñiz,2023-07-08 01:00:00,27,43,30,0,0,2.17,-,-1,-1,https://www.forebet.com/en/predictions-tips-mercedes-deportivo-mu%C3%B1iz-1866934
Ar5,Argentino Rosario,Def. de Cambaceres,2023-07-08 01:00:00,39,30,31,2,1,2.56,-,-1,-1,https://www.forebet.com/en/predictions-tips-argentino-rosario-def-de-cambaceres-1866935
Ar5,Juventud Unida SM,El Porvenir,2023-07-08 01:00:00,35,21,44,0,2,1.97,-,-1,-1,https://www.forebet.com/en/predictions-tips-juventud-unida-sm-el-porvenir-1866936
Ar5,Dep. Paraguayo,Centro Español,2023-07-08 01:00:00,20,37,43,0,1,2.05,-,-1,-1,https://www.forebet.com/en/predictions-tips-dep-paraguayo-centro-espa%C3%B1ol-1866937
Ar3,Liniers Bahía Blanca,Santamarina Tandil,2023-07-08 01:00:00,34,26,40,1,2,2.5,-,-1,-1,https://www.forebet.com/en/predictions-tips-liniers-bah%C3%ADa-blanca-santamarina-tandil-1865304
Ar3,Sansinena,Club Cipolletti,2023-07-08 01:00:00,43,21,36,3,1,3.22,-,-1,-1,https://www.forebet.com/en/predictions-tips-sansinena-club-cipolletti-1865305
Ar3,Circulo Deportivo,CA Germinal,2023-07-08 01:00:00,56,14,30,1,0,0.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-circulo-deportivo-ca-germinal-1865306
Ar3,Club Olimpo,Sol de Mayo,2023-07-08 01:00:00,41,27,32,2,0,2.19,-,-1,-1,https://www.forebet.com/en/predictions-tips-club-olimpo-sol-de-mayo-1865307
Ar3,San Martín Mendoza,SCyB Atenas,2023-07-08 01:00:00,52,25,23,1,0,1.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-san-mart%C3%ADn-mendoza-scyb-atenas-1865308
Ar3,Juventud Unida SL,Ferro Carril Oeste (GP),2023-07-08 01:00:00,46,25,29,1,0,2.19,-,-1,-1,https://www.forebet.com/en/predictions-tips-juventud-unida-sl-ferro-carril-oeste-(gp)-1865309
Ar3,Sportivo Penarol,CS Estudiantes (SL),2023-07-08 01:00:00,45,19,36,2,0,2.03,-,-1,-1,https://www.forebet.com/en/predictions-tips-sportivo-penarol-cs-estudiantes-(sl)-1865310
Ar3,Ciudad Bolivar,Argentino Monte Maíz,2023-07-08 01:00:00,29,26,45,1,3,3.5,-,-1,-1,https://www.forebet.com/en/predictions-tips-ciudad-bolivar-argentino-monte-ma%C3%ADz-1865311
Ar3,Indep. de Chivilcoy,CA Douglas Haig,2023-07-08 01:00:00,32,27,41,0,1,1.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-indep-de-chivilcoy-ca-douglas-haig-1865312
Ar3,Sportivo Las Parejas,Unión Sunchales,2023-07-08 01:00:00,40,21,38,1,0,2.34,-,-1,-1,https://www.forebet.com/en/predictions-tips-sportivo-las-parejas-uni%C3%B3n-sunchales-1865313
Ar3,El Linqueño,Sportivo Belgrano,2023-07-08 01:00:00,32,33,34,1,2,2.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-el-linque%C3%B1o-sportivo-belgrano-1865314
Ar3,Def. Pronunciamiento,Def. Belgrano (VR),2023-07-08 01:00:00,41,31,28,1,0,2.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-def-pronunciamiento-def-belgrano-(vr)-1865315
Ar3,Gimnasia y Tiro,Juventud Antoniana,2023-07-08 01:00:00,46,37,17,1,0,1.6,-,-1,-1,https://www.forebet.com/en/predictions-tips-gimnasia-y-tiro-juventud-antoniana-1865316
Ar3,San Martín Formosa,Boca Unidos,2023-07-08 01:00:00,36,38,27,0,0,1.64,-,-1,-1,https://www.forebet.com/en/predictions-tips-san-mart%C3%ADn-formosa-boca-unidos-1865317
Ar3,Sarmiento Resistencia,Sol de América,2023-07-08 01:00:00,32,41,27,2,2,3.04,-,-1,-1,https://www.forebet.com/en/predictions-tips-sarmiento-resistencia-sol-de-am%C3%A9rica-1865318
Ar3,Central Norte Salta,9 de Julio Rafaela,2023-07-08 01:00:00,46,30,24,2,0,1.85,-,-1,-1,https://www.forebet.com/en/predictions-tips-central-norte-salta-9-de-julio-rafaela-1865319
Sr1,Slee Juniors,SNL,2023-07-08 01:30:00,24,28,48,2,4,6.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-slee-juniors-snl-1842744
BrM,Boa Esporte,Aymorés,2023-07-08 01:30:00,39,32,29,1,0,2.25,-,-1,-1,https://www.forebet.com/en/predictions-tips-boa-esporte-aymor%C3%A9s-1898113
Py2,2 de Mayo,Fernando de la Mora,2023-07-08 02:15:00,32,35,33,0,0,1.7,-,-1,-1,https://www.forebet.com/en/predictions-tips-2-de-mayo-fernando-de-la-mora-1897746
Py1,Libertad,Nacional Asunción,2023-07-08 02:30:00,43,30,27,1,0,1.95,-,-1,-1,https://www.forebet.com/en/predictions-tips-libertad-nacional-asunci%C3%B3n-1845376
Bo1,CA Palmaflor,Real Santa Cruz,2023-07-08 03:00:00,41,24,36,1,0,1.93,-,-1,-1,https://www.forebet.com/en/predictions-tips-ca-palmaflor-real-santa-cruz-1847254
Ec2,Chacaritas FC,America de Quito,2023-07-08 03:00:00,44,35,21,2,1,2.79,-,-1,-1,https://www.forebet.com/en/predictions-tips-chacaritas-fc-america-de-quito-1866259
Ar1,Central Córdoba SdE,Newell's Old Boys,2023-07-08 03:30:00,21,41,38,0,0,1.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-central-c%C3%B3rdoba-sde-newells-old-boys-1845689
Br2,Ceará SC,Botafogo SP,2023-07-08 03:30:00,42,28,30,3,1,4.38,-,-1,-1,https://www.forebet.com/en/predictions-tips-cear%C3%A1-sc-botafogo-sp-1876274
Cl2,Deportes Iquique,San Marcos Arica,2023-07-08 03:30:00,46,29,25,3,2,2.61,-,-1,-1,https://www.forebet.com/en/predictions-tips-deportes-iquique-san-marcos-arica-1848990
Us2,Memphis 901,San Antonio FC,2023-07-08 03:30:00,26,30,44,2,3,4.7,-,-1,-1,https://www.forebet.com/en/predictions-tips-memphis-901-san-antonio-fc-1865783
Mx1,Puebla FC,Santos Laguna,2023-07-08 04:00:00,49,29,22,2,1,3.01,-,-1,-1,https://www.forebet.com/en/predictions-tips-puebla-fc-santos-laguna-1901390
Ca1,Vancouver FC,HFX Wanderers,2023-07-08 05:00:00,12,57,30,1,1,2.2,-,-1,-1,https://www.forebet.com/en/predictions-tips-vancouver-fc-hfx-wanderers-1875668
Mx1,Club Necaxa,Club Tijuana,2023-07-08 06:00:00,46,34,20,2,1,2.72,-,-1,-1,https://www.forebet.com/en/predictions-tips-club-necaxa-club-tijuana-1901396
AuT,South Hobart,Riverside Olympic,2023-07-08 07:00:00,69,19,12,4,1,5.25,-,-1,-1,https://www.forebet.com/en/predictions-tips-south-hobart-riverside-olympic-1866397
AuT,Kingborough Lions,Devonport City,2023-07-08 07:00:00,18,10,73,2,3,5.93,-,-1,-1,https://www.forebet.com/en/predictions-tips-kingborough-lions-devonport-city-1866398
AuA,Woden Valley,Cooma Tigers,2023-07-08 07:00:00,13,14,73,1,3,4.63,-,-1,-1,https://www.forebet.com/en/predictions-tips-woden-valley-cooma-tigers-1870779
AuV,Avondale FC,Thunder SC,2023-07-08 07:30:00,64,21,15,2,1,2.88,-,-1,-1,https://www.forebet.com/en/predictions-tips-avondale-fc-thunder-sc-1854937
AuN,New Lambton,Broadmeadow,2023-07-08 07:30:00,16,17,66,0,4,4.13,-,-1,-1,https://www.forebet.com/en/predictions-tips-new-lambton-broadmeadow-1857157
AuN,Lambton Jaffas,Adamstown FC,2023-07-08 07:30:00,60,19,22,4,0,4.12,-,-1,-1,https://www.forebet.com/en/predictions-tips-lambton-jaffas-adamstown-fc-1857158
AuN,CCM Academy,Wollongong FC,2023-07-08 08:00:00,27,28,44,1,3,3.63,-,-1,-1,https://www.forebet.com/en/predictions-tips-ccm-academy-wollongong-fc-1846563
AuV,Moreland City,Green Gully SC,2023-07-08 08:00:00,19,10,71,2,4,5.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-moreland-city-green-gully-sc-1854935
AuV,Bentleigh Greens,Oakleigh Cannons,2023-07-08 08:00:00,13,15,72,0,2,2.33,-,-1,-1,https://www.forebet.com/en/predictions-tips-bentleigh-greens-oakleigh-cannons-1854936
AuS,Croydon Kings,West Adelaide,2023-07-08 08:00:00,53,28,19,3,1,3.81,-,-1,-1,https://www.forebet.com/en/predictions-tips-croydon-kings-west-adelaide-1849571
AuN,Cooks Hill United,Edgeworth Eagles,2023-07-08 08:00:00,20,28,52,2,3,3.33,-,-1,-1,https://www.forebet.com/en/predictions-tips-cooks-hill-united-edgeworth-eagles-1857156
AuN,Newcastle Olympic,Valentine Phoenix,2023-07-08 08:00:00,35,36,30,2,2,3.17,-,-1,-1,https://www.forebet.com/en/predictions-tips-newcastle-olympic-valentine-phoenix-1857159
Jp4,Honda Lock SC,TIAMO Hirakata,2023-07-08 08:00:00,20,39,42,1,2,2.54,-,-1,-1,https://www.forebet.com/en/predictions-tips-honda-lock-sc-tiamo-hirakata-1864005
AuA,O'Connor Knights,Canberra Olympic,2023-07-08 08:00:00,38,33,29,3,2,4.38,-,-1,-1,https://www.forebet.com/en/predictions-tips-oconnor-knights-canberra-olympic-1870780
AuS,Sturt Lions,Adelaide Comets,2023-07-08 08:30:00,21,37,42,1,3,3.52,-,-1,-1,https://www.forebet.com/en/predictions-tips-sturt-lions-adelaide-comets-1849572
AuS,Modbury Jets,Adelaide Olympic,2023-07-08 08:30:00,39,36,25,3,2,4.33,-,-1,-1,https://www.forebet.com/en/predictions-tips-modbury-jets-adelaide-olympic-1849573
AuS,SA Panthers,Campbelltown City,2023-07-08 08:30:00,15,18,66,1,3,4.13,-,-1,-1,https://www.forebet.com/en/predictions-tips-sa-panthers-campbelltown-city-1849574
Jp4,Sony Sendai,Yokogawa Musashino,2023-07-08 09:00:00,41,35,24,3,1,3.61,-,-1,-1,https://www.forebet.com/en/predictions-tips-sony-sendai-yokogawa-musashino-1864006
Jp4,Briobecca Urayasu,Veertien Mie,2023-07-08 09:00:00,11,28,61,0,1,1.67,-,-1,-1,https://www.forebet.com/en/predictions-tips-briobecca-urayasu-veertien-mie-1864007
AuW,Inglewood United,Perth SC,2023-07-08 10:00:00,29,18,53,1,2,3.19,-,-1,-1,https://www.forebet.com/en/predictions-tips-inglewood-united-perth-sc-1867382
AuW,Bayswater City,Olympic Kingsway,2023-07-08 10:00:00,22,29,48,2,3,5.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-bayswater-city-olympic-kingsway-1867383
AuW,Stirling Lions,Armadale SC,2023-07-08 10:00:00,35,32,33,2,1,2.65,-,-1,-1,https://www.forebet.com/en/predictions-tips-stirling-lions-armadale-sc-1867384
AuW,Floreat Athena,Balcatta,2023-07-08 10:00:00,26,20,53,1,3,3.69,-,-1,-1,https://www.forebet.com/en/predictions-tips-floreat-athena-balcatta-1867385
AuW,Perth Glory Youth,Sorrento FC,2023-07-08 10:00:00,26,28,47,1,3,3.51,-,-1,-1,https://www.forebet.com/en/predictions-tips-perth-glory-youth-sorrento-fc-1867386
AuW,Cockburn City,ECU Joondalup,2023-07-08 10:00:00,23,19,58,1,3,3.34,-,-1,-1,https://www.forebet.com/en/predictions-tips-cockburn-city-ecu-joondalup-1867387
AuQ,Moreton Bay Utd,Gold Coast Utd,2023-07-08 10:00:00,41,32,26,3,1,3.33,-,-1,-1,https://www.forebet.com/en/predictions-tips-moreton-bay-utd-gold-coast-utd-1855104
AuN,NWS Spirit,Sydney Olympic,2023-07-08 10:30:00,35,27,38,1,2,3.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-nws-spirit-sydney-olympic-1846557
AuQ,Peninsula Power,QLD Lions,2023-07-08 10:30:00,18,29,53,1,3,3.15,-,-1,-1,https://www.forebet.com/en/predictions-tips-peninsula-power-qld-lions-1855105
AuN,APIA Tigers,WS Wanderers Youth,2023-07-08 10:45:00,63,25,12,2,1,4.08,-,-1,-1,https://www.forebet.com/en/predictions-tips-apia-tigers-ws-wanderers-youth-1846558
Id1,Persebaya Surabaya,Barito Putera,2023-07-08 11:00:00,29,30,41,1,2,3.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-persebaya-surabaya-barito-putera-1901545
Id1,PSM Makassar,Dewa United,2023-07-08 11:00:00,40,31,29,1,0,2.44,-,-1,-1,https://www.forebet.com/en/predictions-tips-psm-makassar-dewa-united-1901546
Cn3,Hainan Star,Shaoxing Shangyu FC,2023-07-08 11:00:00,42,19,39,2,1,2.5,-,-1,-1,https://www.forebet.com/en/predictions-tips-hainan-star-shaoxing-shangyu-fc-1902248
Kr3,Gyeongju KHNP,Changwon City,2023-07-08 11:00:00,40,32,28,1,0,1.91,-,-1,-1,https://www.forebet.com/en/predictions-tips-gyeongju-khnp-changwon-city-1863814
Kr3,Yangju Citizen,Gimhae City,2023-07-08 11:00:00,15,39,46,1,2,3.07,-,-1,-1,https://www.forebet.com/en/predictions-tips-yangju-citizen-gimhae-city-1863815
Kr3,Pocheon FC,Chuncheon FC,2023-07-08 11:00:00,26,54,20,1,1,0.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-pocheon-fc-chuncheon-fc-1863816
Tw1,AC Taipei,Tatung FC,2023-07-08 11:00:00,19,29,52,0,3,2.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-ac-taipei-tatung-fc-1880595
Jp3,YSCC,Kamatamare Sanuki,2023-07-08 11:00:00,40,32,28,2,0,2.29,-,-1,-1,https://www.forebet.com/en/predictions-tips-yscc-kamatamare-sanuki-1858065
Jp3,Tegevajaro Miyazaki,Gainare Tottori,2023-07-08 11:00:00,33,37,30,0,0,2.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-tegevajaro-miyazaki-gainare-tottori-1858066
AuV,Altona Magic SC,Heidelberg United,2023-07-08 11:15:00,44,29,27,2,1,3.4,-,-1,-1,https://www.forebet.com/en/predictions-tips-altona-magic-sc-heidelberg-united-1854938
AuQ,Rochedale Rovers,Brisbane City,2023-07-08 11:15:00,45,31,24,3,1,3.74,-,-1,-1,https://www.forebet.com/en/predictions-tips-rochedale-rovers-brisbane-city-1855103
AuQ,Brisbane Roar U21,Olympic FC QLD,2023-07-08 11:30:00,46,28,26,2,1,3.33,-,-1,-1,https://www.forebet.com/en/predictions-tips-brisbane-roar-u21-olympic-fc-qld-1855106
Cn3,Hubei Chufeng Heli,Hubei Huachuang,2023-07-08 11:30:00,42,32,26,2,0,2.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-hubei-chufeng-heli-hubei-huachuang-1902249
Cn3,Tai'an Tiankuang,Beijing BIT FC,2023-07-08 11:30:00,27,35,38,0,2,2.13,-,-1,-1,https://www.forebet.com/en/predictions-tips-taian-tiankuang-beijing-bit-fc-1902250
Jp1,Nagoya Grampus,Yokohama Marinos,2023-07-08 12:00:00,25,34,40,1,2,2.68,-,-1,-1,https://www.forebet.com/en/predictions-tips-nagoya-grampus-yokohama-marinos-1849766
Kr1,Pohang Steelers,Ulsan Hyundai,2023-07-08 12:00:00,28,30,43,1,2,2.73,-,-1,-1,https://www.forebet.com/en/predictions-tips-pohang-steelers-ulsan-hyundai-1851616
AuN,St George City FA,Bulls Academy,2023-07-08 12:00:00,48,43,10,2,0,0.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-st-george-city-fa-bulls-academy-1846560
Kr2,Cheongju FC,FC Anyang,2023-07-08 12:00:00,14,22,64,0,3,3.67,-,-1,-1,https://www.forebet.com/en/predictions-tips-cheongju-fc-fc-anyang-1856836
Kr2,Cheonan City,Seoul E-Land,2023-07-08 12:00:00,16,22,62,1,2,4.83,-,-1,-1,https://www.forebet.com/en/predictions-tips-cheonan-city-seoul-e-land-1856837
Jp3,Grulla Morioka,Giravanz K.,2023-07-08 12:00:00,37,29,34,2,1,2.83,-,-1,-1,https://www.forebet.com/en/predictions-tips-grulla-morioka-giravanz-k-1858067
AuN,Manly United,Marconi Stallions,2023-07-08 12:15:00,24,26,51,0,2,2.43,-,-1,-1,https://www.forebet.com/en/predictions-tips-manly-united-marconi-stallions-1846559
Jp1,Sanfrecce,Kashima Antlers,2023-07-08 12:30:00,28,41,31,0,0,2.39,-,-1,-1,https://www.forebet.com/en/predictions-tips-sanfrecce-kashima-antlers-1849767
Cn1,Beijing Guoan,Shenzhen FC,2023-07-08 12:30:00,57,30,13,3,1,3.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-beijing-guoan-shenzhen-fc-1878236
Ee2,Nõmme United,Paide II,2023-07-08 12:30:00,60,15,24,3,2,4.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-n%C3%B5mme-united-paide-ii-1862833
AuS,N.E. MetroStars,Adelaide City,2023-07-08 12:30:00,34,38,28,2,2,3.46,-,-1,-1,https://www.forebet.com/en/predictions-tips-ne-metrostars-adelaide-city-1849575
Jp3,Ryukyu,Matsumoto Yamaga,2023-07-08 12:30:00,31,20,49,0,2,2.28,-,-1,-1,https://www.forebet.com/en/predictions-tips-ryukyu-matsumoto-yamaga-1858068
My1,Sabah FA,Kuching FA,2023-07-08 12:45:00,63,25,12,2,0,2.33,-,-1,-1,https://www.forebet.com/en/predictions-tips-sabah-fa-kuching-fa-1851179
Jp1,Urawa Red Diamonds,FC Tokyo,2023-07-08 13:00:00,57,26,17,3,0,2.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-urawa-red-diamonds-fc-tokyo-1849768
Jp1,Kashiwa Reysol,Shonan Bellmare,2023-07-08 13:00:00,43,39,18,3,1,3.48,-,-1,-1,https://www.forebet.com/en/predictions-tips-kashiwa-reysol-shonan-bellmare-1849769
Jp1,Kawasaki Frontale,Yokohama FC,2023-07-08 13:00:00,57,32,12,3,0,2.9,-,-1,-1,https://www.forebet.com/en/predictions-tips-kawasaki-frontale-yokohama-fc-1849770
Jp1,Gamba Osaka,Kyoto Sanga,2023-07-08 13:00:00,35,37,28,1,1,2.1,-,-1,-1,https://www.forebet.com/en/predictions-tips-gamba-osaka-kyoto-sanga-1849771
Jp1,Avispa Fukuoka,Consadole Sapporo,2023-07-08 13:00:00,28,40,32,2,2,3.03,-,-1,-1,https://www.forebet.com/en/predictions-tips-avispa-fukuoka-consadole-sapporo-1849772
Sg1,Brunei DPMM FC,Albirex Niigata (S),2023-07-08 13:00:00,18,13,69,1,3,3.25,-,-1,-1,https://www.forebet.com/en/predictions-tips-brunei-dpmm-fc-albirex-niigata-(s)-1851039
Kr1,Suwon FC,Incheon United,2023-07-08 13:00:00,25,45,30,1,1,2.15,-,-1,-1,https://www.forebet.com/en/predictions-tips-suwon-fc-incheon-united-1851617
By2,FK Slonim,Lokomotiv Gomel,2023-07-08 13:00:00,13,22,65,0,2,1.92,-,-1,-1,https://www.forebet.com/en/predictions-tips-fk-slonim-lokomotiv-gomel-1870563
Kr3,Mokpo City,Yangpyeong FC,2023-07-08 13:00:00,62,21,17,1,0,2.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-mokpo-city-yangpyeong-fc-1863817
Kr3,Ulsan Citizen,Gangneung City,2023-07-08 13:00:00,49,31,20,2,0,2.4,-,-1,-1,https://www.forebet.com/en/predictions-tips-ulsan-citizen-gangneung-city-1863818
Kr3,Hwaseong FC,Daejeon Korail,2023-07-08 13:00:00,48,35,17,1,0,1.81,-,-1,-1,https://www.forebet.com/en/predictions-tips-hwaseong-fc-daejeon-korail-1863819
Bd1,Abahani Chittagong,Rahmatganj MFS,2023-07-08 13:00:00,32,37,31,1,1,2.38,-,-1,-1,https://www.forebet.com/en/predictions-tips-abahani-chittagong-rahmatganj-mfs-1880006
Bd1,Bangladesh Police,Muktijoddha SKC,2023-07-08 13:00:00,64,21,14,3,0,3.03,-,-1,-1,https://www.forebet.com/en/predictions-tips-bangladesh-police-muktijoddha-skc-1880007
Jp3,Vanraure Hachinohe,Nagano Parceiro,2023-07-08 13:00:00,37,39,24,1,1,2.2,-,-1,-1,https://www.forebet.com/en/predictions-tips-vanraure-hachinohe-nagano-parceiro-1858069
Jp3,FC Imabari,Azul Claro Numazu,2023-07-08 13:00:00,29,44,27,1,1,1.25,-,-1,-1,https://www.forebet.com/en/predictions-tips-fc-imabari-azul-claro-numazu-1858070
Jp1,Sagan Tosu,Cerezo Osaka,2023-07-08 13:30:00,28,25,46,1,2,3.13,-,-1,-1,https://www.forebet.com/en/predictions-tips-sagan-tosu-cerezo-osaka-1849773
Kr1,Jeonbuk Hyundai M.,FC Seoul,2023-07-08 13:30:00,33,43,23,1,1,2.02,-,-1,-1,https://www.forebet.com/en/predictions-tips-jeonbuk-hyundai-m-fc-seoul-1851618
Fi1,HJK Helsinki,FC Lahti,2023-07-08 14:00:00,64,25,11,2,0,1.95,-,-1,-1,https://www.forebet.com/en/predictions-tips-hjk-helsinki-fc-lahti-1872750
Cn2,Nanjing Fengfan,Guangxi Baoyun,2023-07-08 14:00:00,25,52,23,1,1,1.0,-,-1,-1,https://www.forebet.com/en/predictions-tips-nanjing-fengfan-guangxi-baoyun-1881220
Cn2,Shenyang City,Sichuan FC,2023-07-08 14:00:00,18,28,54,0,1,1.4,-,-1,-1,https://www.forebet.com/en/predictions-tips-shenyang-city-sichuan-fc-1881221
Lv2,Tukums II,FK Rezekne/BJSS,2023-07-08 14:00:00,54,18,28,3,2,4.17,-,-1,-1,https://www.forebet.com/en/predictions-tips-tukums-ii-fk-rezeknebjss-1873233
Tw1,Ming Chuan University,Taicheng,2023-07-08 14:00:00,54,29,18,2,1,2.88,-,-1,-1,https://www.forebet.com/en/predictions-tips-ming-chuan-university-taicheng-1880592
Mo1,Hang Sai SC,Toi Seng,2023-07-08 14:00:00,66,18,16,3,0,4.5,-,-1,-1,https://www.forebet.com/en/predictions-tips-hang-sai-sc-toi-seng-1902259
Ee2,JK Tabasalu,FC Elva,2023-07-08 14:30:00,51,20,29,3,1,4.25,-,-1,-1,https://www.forebet.com/en/predictions-tips-jk-tabasalu-fc-elva-1862834
